RK,TIERS,PLAYER NAME,TEAM,FAN PTS,YDS,TDS,REC,YDS,TDS,ATT,YDS,TDS
48,6,Cam Akers,LAR,2.1,0.0,0.0,1.5,5.0,0.0,2.5,1.5,0.0
49,6,George Kittle,SF,14.1,0.0,0.0,5.1,65.0,0.4,0.2,1.4,0.0
50,6,Lamar Jackson,BAL,21.1,240.2,1.3,0.0,0.0,0.0,11.2,63.9,0.2
51,6,Chase Edmonds,MIA,11.9,0.0,0.0,3.6,25.9,0.0,9.7,49.3,0.2
52,6,Darren Waller,LV,12.1,0.0,0.0,5.0,60.5,0.2,0.0,0.0,0.0
53,6,Darnell Mooney,CHI,12.9,0.0,0.0,4.8,62.1,0.2,0.4,1.9,0.1
54,6,Elijah Mitchell,SF,13.8,0.0,0.0,1.6,11.4,0.1,17.3,80.3,0.4
55,6,DK Metcalf,SEA,14.4,0.0,0.0,4.4,56.9,0.7,0.1,0.4,0.0
56,6,Josh Jacobs,LV,15.1,0.0,0.0,3.6,23.2,0.0,14.5,58.1,0.6
57,6,Amon-Ra St. Brown,DET,14.2,0.0,0.0,5.6,57.0,0.3,0.4,3.8,0.1
58,6,Marquise Brown,ARI,14.1,0.0,0.0,5.7,63.0,0.4,0.1,0.3,0.0
59,6,Michael Thomas,NO,0,0,0,0,0,0,0,0,0
60,6,Antonio Gibson,WAS,14.3,0.0,0.0,2.6,18.4,0.2,16.1,64.8,0.4
61,6,JuJu Smith-Schuster,KC,7.0,0.0,0.0,3.0,25.8,0.0,0.6,1.8,0.2
62,6,Rashod Bateman,BAL,8.6,0.0,0.0,3.8,42.9,0.1,0.0,0.0,0.0
63,6,Kyler Murray,ARI,22.2,270.5,1.7,0.0,0.0,0.0,6.3,30.2,0.4
64,6,Dalton Schultz,DAL,12.3,0.0,0.0,4.6,47.5,0.5,0.0,0.0,0.0
65,6,J.K. Dobbins,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,6,Jalen Hurts,PHI,21.4,209.6,1.1,0.0,0.0,0.0,9.3,52.3,0.7
67,7,Dameon Pierce,HOU,0,0,0,0,0,0,0,0,0
68,7,Jerry Jeudy,DEN,8.5,0.0,0.0,3.8,46.7,0.0,0.2,0.3,0.0
69,7,Gabriel Davis,BUF,8.4,0.0,0.0,2.3,36.6,0.4,0.0,0.0,0.0
70,7,Clyde Edwards-Helaire,KC,11.7,0.0,0.0,1.9,11.8,0.2,11.9,51.7,0.4
71,7,Chris Godwin,TB,17.3,0.0,0.0,7.0,78.8,0.4,0.3,1.5,0.1
72,7,Elijah Moore,NYJ,12.6,0.0,0.0,3.9,48.9,0.5,0.5,4.9,0.1
73,7,Amari Cooper,CLE,13.5,0.0,0.0,4.5,57.7,0.5,0.0,0.0,0.0
74,7,Kareem Hunt,CLE,13.8,0.0,0.0,2.8,21.8,0.0,9.8,48.3,0.6
75,7,Rhamondre Stevenson,NE,9.6,0.0,0.0,1.2,10.3,0.0,11.1,50.5,0.4
76,7,Dallas Goedert,PHI,11.0,0.0,0.0,3.7,55.3,0.3,0.0,0.0,0.0
77,7,Tony Pollard,DAL,10.8,0.0,0.0,2.6,22.5,0.0,8.7,47.9,0.1
78,7,Joe Burrow,CIN,20.5,288.2,2.1,0.0,0.0,0.0,2.5,7.4,0.1
79,7,Adam Thielen,MIN,15.4,0.0,0.0,5.2,55.8,0.8,0.1,0.2,0.0
80,7,Cordarrelle Patterson,ATL,14.7,0.0,0.0,3.3,34.3,0.3,9.6,38.6,0.4
81,7,Damien Harris,NE,14.0,0.0,0.0,1.2,8.8,0.0,13.5,61.9,1.0
82,7,Rashaad Penny,SEA,12.2,0.0,0.0,0.6,4.8,0.0,11.9,74.9,0.6
83,7,Tom Brady,TB,22.7,312.7,2.5,0.0,0.0,0.0,1.6,4.8,0.1
84,7,Miles Sanders,PHI,9.8,0.0,0.0,2.2,13.2,0.0,11.4,62.8,0.0
85,7,T.J. Hockenson,DET,12.1,0.0,0.0,5.1,48.6,0.3,0.0,0.0,0.0
86,7,Russell Wilson,DEN,17.8,222.4,1.8,0.0,0.0,0.0,3.1,13.1,0.1
87,7,Devin Singletary,BUF,11.6,0.0,0.0,2.4,13.4,0.1,11.1,51.2,0.4
88,7,Christian Kirk,JAC,12.2,0.0,0.0,4.5,57.8,0.3,0.1,0.6,0.0
89,8,Hunter Renfrow,LV,15.2,0.0,0.0,6.1,61.1,0.5,0.2,0.2,0.0
90,8,Dak Prescott,DAL,20.7,278.1,2.3,0.0,0.0,0.0,3.0,9.1,0.1
91,8,DeVonta Smith,PHI,10.9,0.0,0.0,3.8,53.9,0.3,0.0,0.0,0.0
92,8,Brandon Aiyuk,SF,10.0,0.0,0.0,3.3,48.6,0.3,0.3,1.0,0.0
93,8,Allen Lazard,GB,10.2,0.0,0.0,2.9,36.6,0.6,0.2,2.3,0.0
94,8,Melvin Gordon III,DEN,12.2,0.0,0.0,1.8,13.3,0.1,12.7,57.4,0.5
95,8,Drake London,ATL,0,0,0,0,0,0,0,0,0
96,8,Zach Ertz,ARI,10.6,0.0,0.0,4.4,44.9,0.3,0.1,0.2,0.0
97,8,Trey Lance,SF,11.2,100.5,0.8,0.0,0.0,0.0,6.3,28.0,0.2
98,8,Tyler Lockett,SEA,15.1,0.0,0.0,4.6,73.4,0.5,0.1,0.6,0.0
99,8,Robert Woods,TEN,15.2,0.0,0.0,5.0,61.8,0.4,0.9,5.1,0.1
100,8,Aaron Rodgers,GB,21.1,257.2,2.3,0.0,0.0,0.0,2.1,6.3,0.2
101,8,Dawson Knox,BUF,10.9,0.0,0.0,3.3,39.1,0.6,0.0,0.3,0.0
102,8,Nyheim Hines,IND,6.6,0.0,0.0,2.4,18.2,0.1,3.3,16.2,0.1
103,8,Matthew Stafford,LAR,20.4,287.4,2.4,0.0,0.0,0.0,1.9,2.5,0.0
104,8,Cole Kmet,CHI,7.1,0.0,0.0,3.5,36.0,0.0,0.1,0.0,0.0
105,8,Michael Carter,NYJ,11.0,0.0,0.0,2.6,23.2,0.0,10.5,45.6,0.3
106,8,James Cook,BUF,0,0,0,0,0,0,0,0,0
107,8,Darrell Henderson Jr.,LAR,13.6,0.0,0.0,2.4,14.7,0.3,12.4,57.3,0.4
108,8,Kadarius Toney,NYG,9.2,0.0,0.0,4.3,46.7,0.0,0.3,0.7,0.0
109,8,Pat Freiermuth,PIT,9.5,0.0,0.0,3.8,31.1,0.4,0.0,0.0,0.0
