RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
318,13,Tre'Quan Smith,NO,WR104,14,4 out of 5 stars,-
319,13,Brett Maher,DAL,K27,9,5 out of 5 stars,-36
320,13,James Proche II,BAL,WR105,10,3 out of 5 stars,-
321,13,Jalen Reagor,MIN,WR106,7,2 out of 5 stars,-
322,13,Marlon Mack,FA,RB87,-,-,-95
323,13,Pierre Strong Jr.,NE,RB88,10,4 out of 5 stars,-
324,13,Danny Gray,SF,WR107,9,3 out of 5 stars,-
325,13,Las Vegas Raiders,LV,DST29,6,3 out of 5 stars,-62
326,13,Jalen Guyton,LAC,WR108,8,3 out of 5 stars,-
327,13,O.J. Howard,HOU,TE41,6,3 out of 5 stars,25
328,13,Darius Slayton,NYG,WR109,9,4 out of 5 stars,-
329,13,William Fuller V,FA,WR110,-,-,-
330,13,Khalil Shakir,BUF,WR111,7,4 out of 5 stars,-
331,13,Snoop Conner,JAC,RB89,11,3 out of 5 stars,-
332,13,DeeJay Dallas,SEA,RB90,11,2 out of 5 stars,-8
333,13,Kyren Williams,LAR,RB91,7,2 out of 5 stars,-
334,13,Travis Homer,SEA,RB92,11,2 out of 5 stars,-
335,14,Odell Beckham Jr.,FA,WR112,-,-,-142
336,14,Donald Parham Jr.,LAC,TE42,8,4 out of 5 stars,-
337,14,Olamide Zaccheaus,ATL,WR113,14,4 out of 5 stars,-
338,14,Cade York,CLE,K28,9,3 out of 5 stars,-96
339,14,Foster Moreau,LV,TE43,6,2 out of 5 stars,5
340,14,Ty Johnson,NYJ,RB93,10,4 out of 5 stars,-
341,14,Detroit Lions,DET,DST30,6,2 out of 5 stars,-36
342,14,Jauan Jennings,SF,WR114,9,3 out of 5 stars,8
343,14,Joey Slye,WAS,K29,14,4 out of 5 stars,-22
344,14,Tyquan Thornton,NE,WR115,10,4 out of 5 stars,-
345,14,Equanimeous St. Brown,CHI,WR116,14,3 out of 5 stars,-
346,14,Jelani Woods,IND,TE44,14,2 out of 5 stars,-
347,14,Calvin Austin III,PIT,WR117,9,4 out of 5 stars,-
348,14,Quintez Cephus,DET,WR118,6,3 out of 5 stars,-
349,14,Amari Rodgers,GB,WR119,14,3 out of 5 stars,-
350,14,Austin Seibert,DET,K30,6,3 out of 5 stars,-86
351,14,Noah Brown,DAL,WR120,9,3 out of 5 stars,-
352,14,Jimmy Garoppolo,SF,QB35,9,3 out of 5 stars,-74
353,14,Jerome Ford,CLE,RB94,9,3 out of 5 stars,-
354,14,John Bates,WAS,TE45,14,4 out of 5 stars,-
355,14,Anthony Schwartz,CLE,WR121,9,4 out of 5 stars,-
356,14,Atlanta Falcons,ATL,DST31,14,5 out of 5 stars,-
357,14,Dyami Brown,WAS,WR122,14,4 out of 5 stars,-
358,14,Brandon Bolden,LV,RB95,6,2 out of 5 stars,-15
359,14,Justin Jackson,DET,RB96,6,4 out of 5 stars,-
360,14,Kylen Granson,IND,TE46,14,2 out of 5 stars,-
361,14,Demarcus Robinson,BAL,WR123,10,3 out of 5 stars,-
362,14,Darrynton Evans,CHI,RB97,14,5 out of 5 stars,-
363,14,Rashard Higgins,CAR,WR124,13,3 out of 5 stars,-
364,14,Salvon Ahmed,MIA,RB98,11,4 out of 5 stars,-
365,14,Mack Hollins,LV,WR125,6,2 out of 5 stars,-
366,14,James Washington,DAL,WR126,9,3 out of 5 stars,-
367,14,Taysom Hill,NO,TE47,14,4 out of 5 stars,-156
368,14,Phillip Lindsay,IND,RB99,14,3 out of 5 stars,-
369,14,Desmond Ridder,ATL,QB36,14,3 out of 5 stars,-
370,14,Drew Lock,SEA,QB37,11,3 out of 5 stars,-24
371,14,Kyle Juszczyk,SF,RB100,9,2 out of 5 stars,-76
372,14,Dee Eskridge,SEA,WR127,11,4 out of 5 stars,-
373,14,Trestan Ebner,CHI,RB101,14,5 out of 5 stars,-
374,14,Ashton Dulin,IND,WR128,14,4 out of 5 stars,-
375,14,Duke Johnson Jr.,BUF,RB102,7,4 out of 5 stars,-
376,14,Kene Nwangwu,MIN,RB103,7,4 out of 5 stars,-
377,14,Will Dissly,SEA,TE48,11,2 out of 5 stars,-
378,14,Geoff Swaim,TEN,TE49,6,5 out of 5 stars,-
379,14,Craig Reynolds,DET,RB104,6,4 out of 5 stars,-
380,14,John Metchie III,HOU,WR129,6,3 out of 5 stars,-
381,14,Pharaoh Brown,HOU,TE50,6,3 out of 5 stars,-
382,14,Keaontay Ingram,ARI,RB105,13,2 out of 5 stars,-
383,14,Jaret Patterson,WAS,RB106,14,4 out of 5 stars,-
384,14,Eddy Pineiro,CAR,K31,13,4 out of 5 stars,-
385,14,Chase McLaughlin,FA,K32,-,-,-
386,14,Jordan Mason,SF,RB107,9,2 out of 5 stars,-113
387,15,Josh Lambo,FA,K33,-,-,-
388,15,Phillip Dorsett II,HOU,WR130,6,3 out of 5 stars,-
389,15,David Johnson,FA,RB108,-,-,-
390,15,Tevin Coleman,FA,RB109,-,-,-
391,15,Ty Chandler,MIN,RB110,7,4 out of 5 stars,-
392,15,Demetric Felton Jr.,CLE,RB111,9,3 out of 5 stars,-
393,15,Cole Beasley,FA,WR131,-,-,-
394,15,Latavius Murray,FA,RB112,-,-,-
395,15,Houston Texans,HOU,DST32,6,4 out of 5 stars,-59
396,15,Tyler Johnson,HOU,WR132,6,3 out of 5 stars,-
397,15,Emmanuel Sanders,FA,WR133,-,-,-
